SEQNO,StationID,StationName,StationPosition,StationAddress,BikeAllowOnHoliday,UpdateTime
1,'BR01',"'{動物園,Taipei Zoo}'","'{121.579501,24.998205}'",'11656臺北市文山區新光路2段32號',0,20170525
2,'BR02',"'{木柵,Muzha}'","'{121.573127,24.99824}'",'11656臺北市文山區木柵路4段135號',0,20170525
3,'BR03',"'{萬芳社區,Wanfang Community}'","'{121.568088,24.99857}'",'11653臺北市文山區萬芳路60號',0,20170525
4,'BR04',"'{萬芳醫院,Wanfang Hospital}'","'{121.558092,24.99932}'",'11696臺北市文山區興隆路3段113號',0,20170525
5,'BR05',"'{辛亥,Xinhai}'","'{121.5570455,25.005455}'",'11694臺北市文山區辛亥路4段128號',0,20170525
6,'BR06',"'{麟光,Linguang}'","'{121.5588335,25.018495}'",'10676臺北市大安區和平東路3段410號',0,20170525
7,'BR07',"'{六張犁,Liuzhangli}'","'{121.55302,25.02381}'",'10674臺北市大安區和平東路3段168號',0,20170525
8,'BR08',"'{科技大樓,Technology Building}'","'{121.5434615,25.02612}'",'10667臺北市大安區復興南路2段235號',0,20170525
9,"'BR09,R05'","'{大安,Daan}'","'{121.54237,25.033311}'","'文湖線：10683臺北市大安區信義路4段2號
淡水信義線：10658臺北市大安區信義路3段180號'",0,20170525
10,"'BR10,BL15'","'{忠孝復興,Zhongxiao Fuxing}'","'{121.545026,25.041749}'","'文湖線：10654臺北市大安區忠孝東路3段302號
板南線：10691臺北市大安區忠孝東路4段47號'",0,20170525
11,'BR12',"'{中山國中,Zhongshan Junior High School}'","'{121.544215,25.06085}'",'10476臺北市中山區復興北路376號',0,20170525
12,'BR13',"'{松山機場,Songshan Airport}'","'{121.55201,25.0629075}'",'10576臺北市松山區敦化北路338號',0,20170525
13,'BR14',"'{大直,Dazhi}'","'{121.54679,25.07943}'",'10465臺北市中山區北安路534之1號',0,20170525
14,'BR15',"'{劍南路,Jiannan Rd.}'","'{121.5555825,25.08483}'",'10464臺北市中山區北安路798號',0,20170525
15,'BR16',"'{西湖,Xihu}'","'{121.567227,25.08216}'",'11493臺北市內湖區內湖路1段256號',0,20170525
16,'BR17',"'{港墘,Gangqian}'","'{121.57516,25.08007}'",'11446臺北市內湖區內湖路1段663號',0,20170525
17,'BR18',"'{文德,Wende}'","'{121.5849995,25.078455}'",'11475臺北市內湖區文德路214號',0,20170525
18,'BR19',"'{內湖,Neihu}'","'{121.594363,25.083675}'",'11489臺北市內湖區成功路4段186號',0,20170525
19,'BR20',"'{大湖公園,Dahu Park}'","'{121.602214,25.083805}'",'11477臺北市內湖區成功路5段11號',0,20170525
20,'BR21',"'{葫洲,Huzhou}'","'{121.6071455,25.07271}'",'11486臺北市內湖區康寧路3段16號',0,20170525
21,'BR22',"'{東湖,Donghu}'","'{121.611535,25.067455}'",'11486臺北市內湖區康寧路3段235號',0,20170525
22,'BR23',"'{南港軟體園區,Nangang Software Park}'","'{121.615,25.05992}'",'11568臺北市南港區經貿二路183號',0,20170525
23,'BR24',"'{南港展覽館,Taipei Nangang Exhibition Center}'","'{121.616861,25.054919}'",'文湖線：11568臺北市南港區南港路1段32號',0,20170525
