SEQNO,StationID,StationName,StationAddress,BikeAllowOnHoliday,UpdateTime,lat,lon
99,'BL10',龍山寺,'10855臺北市萬華區西園路1段153號',1,20170525,121.500325,25.03528
100,"'BL11,G12'",西門,'10042臺北市中正區寶慶路32之1號B1  ',1,20170525,121.508175,25.042025
101,'BL13',善導寺,'10049臺北市中正區忠孝東路1段58號B1',1,20170525,121.523885,25.04468
102,"'BL14,O07'",忠孝新生,'10652臺北市大安區新生南路1段67號',1,20170525,121.53321,25.042498
103,'BL16',忠孝敦化,'10686臺北市大安區忠孝東路4段182號',1,20170525,121.55045,25.041505
104,'BL17',國父紀念館,'11072臺北市信義區忠孝東路4段400號',1,20170525,121.557815,25.04137
105,'BL18',市政府,'11071臺北市信義區忠孝東路5段2號',1,20170525,121.565685,25.041135
106,'BL19',永春,'11061臺北市信義區忠孝東路5段455號',1,20170525,121.5762,25.040855
107,'BL20',後山埤,'11575臺北市南港區忠孝東路6段2號',1,20170525,121.58227,25.044715
108,'BL21',昆陽,'11558臺北市南港區忠孝東路6段451號',1,20170525,121.5932285,25.0504585
109,'BL22',南港,'11561臺北市南港區忠孝東路7段380號',1,20170525,121.60697,25.052035
