發生時間,處理別,肇事地點,座標-X,座標-Y
2020/1/2 09:48,2,北投區文林北路78號對面,121.5177544,25.10513575
2020/1/2 09:50,2,士林區承德路4段9巷與承德路4段口,121.5218871,25.07935753
2020/1/2 09:54,2,南港區南港路3段與昆陽街口口,121.5922794,25.0542072
2020/1/2 10:10,2,中山區市民大道2段與林森北路口,121.5241945,25.0476987
2020/1/2 10:27,2,內湖區潭美街69號,121.5778457,25.05329609
2020/1/2 10:35,2,中山區新生北路2段62巷與新生北路2段口,121.527277,25.05605182
2020/1/2 10:38,2,大安區復興南路2段210巷與復興南路2段口,121.5433179,25.02640604
2020/1/2 10:40,2,北投區北投路2段與大業路452巷口,121.4978292,25.13212613
2020/1/2 10:45,2,松山區民生東路4段112巷與民生東路4段口,121.5543453,25.05814818
2020/1/2 11:02,2,大安區忠孝東路3段與復興南路1段口,121.5436686,25.04156176
2020/1/2 11:07,2,中山區民族東路與建國北路3段口,121.5362925,25.0681161
2020/1/2 11:10,2,南港區重陽路與興華路口,121.6053375,25.0578843
2020/1/2 11:15,2,士林區中正路15號,121.5309813,25.09638261
2020/1/2 11:20,2,中山區民生東路2段163號與建國北路2段口,121.5365035,25.05792858
2020/1/2 11:31,2,萬華區寶興街89號,121.4943821,25.02591255
2020/1/2 11:37,2,文山區保儀路109巷與保儀路109巷21弄口口附近,121.56922,24.98519962
2020/1/2 11:41,2,北投區學園路1號,121.4659736,25.12976149
2020/1/2 12:00,2,內湖區康樂街110巷與康樂街136巷18弄口,121.6183058,25.07071896
2020/1/2 12:16,2,大安區樂業街與樂業街72巷口,121.5507175,25.02197028
2020/1/2 12:21,2,信義區莊敬路325巷45弄,121.5636257,25.02993595
2020/1/2 12:41,2,北投區北投路1段與中央南路1段口,121.5005768,25.12774596
2020/1/2 12:43,2,中正區重慶南路3段88號與重慶南路3段口88號迴轉道,121.5161952,25.02602023
2020/1/2 12:51,2,內湖區成功路2段與成功路2段273巷口,121.5909585,25.06846672
2020/1/2 13:06,2,內湖區成美橋與新明路口,121.582228,25.05572457
2020/1/2 13:32,2,文山區興隆路3段與興隆路3段112巷4弄口中科大校門口,121.5554953,24.99926518
2020/1/2 14:03,2,大同區延平北路4段193號,121.5114361,25.07381127
2020/1/2 14:16,2,北投區崇仁路1段與中央南路1段口,121.5012146,25.12834965
2020/1/2 14:25,2,大同區鄭州路145號中興醫院出入口,121.5093207,25.05044717
2020/1/2 14:27,2,中山區建國北路3段與民權東路3段口,121.5367791,25.06227728
2020/1/2 14:28,2,北投區稻香路036燈桿,121.4845894,25.14235855
2020/1/2 14:29,2,中正區南海路與泉州街口附近,121.5137294,25.03174843
2020/1/2 14:35,2,大安區忠孝東路4段與敦化南路1段口,121.548875,25.0414265
2020/1/2 14:40,2,士林區德行東路與德行東路104巷口,121.5283909,25.10766015
2020/1/2 14:50,2,大同區太原路與太原路76巷口,121.5156425,25.05198211
2020/1/2 14:50,2,信義區基隆路1段380巷與基隆路1段口,121.5602063,25.03466515
2020/1/2 15:00,2,文山區興隆路4段62巷與無名巷口,121.5606362,24.98504123
2020/1/2 15:17,2,文山區木柵路4段與萬芳路口,121.5713512,24.99501459
2020/1/2 16:00,2,南港區南港路3段50巷與松河街口口,121.5905315,25.05651207
2020/1/2 16:06,2,內湖區五分街93號前,121.6158056,25.06727131
2020/1/2 16:17,2,北投區承德路6段與文林北路口,121.5113722,25.1104256
2020/1/2 16:20,2,松山區敦化南路1段21號,121.5491643,25.0466167
2020/1/2 16:20,2,中山區通北街118巷與通北街口,121.5380951,25.08301067
2020/1/2 16:21,2,中正區中華路1段與長沙街1段口,121.5080202,25.04050789
2020/1/2 16:33,2,文山區景中街與景美街口,121.5417011,24.9929382
2020/1/2 16:55,2,文山區興隆路1段189號前,121.5431216,25.00075182
2020/1/2 17:00,2,中山區美堤河濱公園道路16號水門公車站牌前,121.5563522,25.0765426
2020/1/2 17:11,2,士林區中山北路5段470巷與中山北路5段口,121.5279285,25.09219066
2020/1/2 17:19,2,大安區愛國東路79巷與愛國東路口,121.5275183,25.0320431
2020/1/2 17:20,2,中正區博愛路與漢口街1段口,121.511351,25.04516381
2020/1/2 17:24,2,中正區南昌路1段與南海路口,121.5163921,25.03238458
2020/1/2 17:32,2,大同區民權西路160巷與民權西路144巷19弄口,121.5159297,25.06162983
2020/1/2 17:54,2,中正區新生北路1段13-1號U-BIKE停車位,121.5328161,25.04456339
2020/1/2 18:30,2,大同區民生西路與萬全街口,121.5204882,25.05765086
2020/1/2 18:40,2,北投區大度路3段098號燈桿,121.4644831,25.12383484
2020/1/2 18:45,2,中正區博愛路與武昌街1段口,121.511503,25.04411042
2020/1/2 19:03,2,松山區八德路4段與中坡北路口,121.5795023,25.0503452
2020/1/2 19:10,2,信義區忠孝東路5段與松山路口,121.5777028,25.04076533
2020/1/2 19:12,2,大安區辛亥路2段175號對面,121.5411938,25.02107473
2020/1/2 19:25,2,南港區重陽路與興華路口,121.605203,25.05786087
2020/1/2 19:35,2,北投區立農街1段265號,121.5055198,25.11943172
2020/1/2 19:45,2,中正區中山南路與信義路1段口,121.5178275,25.0387829
2020/1/2 20:00,2,南港區玉成街176巷與玉成街166巷22弄口,121.5837747,25.04382461
2020/1/2 20:35,2,文山區羅斯福路5段176巷24號前,121.5374671,25.00426058
2020/1/2 21:15,2,大安區信義路4段60-64號,121.5459908,25.03271536
2020/1/2 21:21,2,北投區天母西路與天母西路114巷口,121.5228342,25.11898321
2020/1/2 21:22,2,大安區復興南路1段354號,121.5435437,25.03565841
2020/1/2 22:14,2,文山區羅斯福路5段170巷與汀州路4段口,121.5357322,25.0047865
2020/1/2 22:26,2,松山區八德路4段與塔悠路口,121.5721138,25.05002629
2020/1/2 22:30,2,萬華區堤外便道與富民路口底水門口,121.5004624,25.01740704
2020/1/2 22:32,2,中正區汀州路3段與基隆路4段口,121.5362438,25.01103555
2020/1/2 23:17,2,士林區德行西路99號,121.5212926,25.10423116
2020/1/3 06:50,2,北投區新民路53-1號,121.5107155,25.14011842
2020/1/3 07:45,2,萬華區環河南路1段276號,121.5003294,25.04236146
2020/1/3 07:52,2,士林區德行東路93巷與德行東路口,121.5278754,25.10752288
2020/1/3 08:11,2,中正區青島東路21號,121.5239067,25.04338832
2020/1/3 08:15,2,中正區中山南路與信義路1段口,121.5179462,25.03875368
2020/1/3 08:17,2,中山區復興北路514巷59號,121.54293,25.06598789
2020/1/3 08:37,2,士林區延平北路6段與社正路口,121.5088287,25.08800979
2020/1/3 08:40,2,內湖區瑞湖街109號前,121.5762728,25.07195326
2020/1/3 08:50,2,中山區長春路3巷與長春路口,121.5234395,25.05499293
2020/1/3 08:56,1,南港區研究院路2段與研究院路2段53巷口,121.6159417,25.04445022
2020/1/3 09:10,2,中山區新生北路1段與長安東路1段口,121.5293931,25.04812454
2020/1/3 09:10,2,信義區松勤街51號,121.5635245,25.03199416
2020/1/3 09:10,2,文山區羅斯福路6段3號前,121.5397039,25.00031895
2020/1/3 09:15,2,信義區忠孝東路5段與忠孝東路5段621巷口,121.5791755,25.04158455
2020/1/3 09:18,2,大同區承德路3段140號,121.5183113,25.06776299
2020/1/3 09:37,2,大同區重慶北路3段與民族西路口,121.5136791,25.06864367
2020/1/3 09:41,2,文山區木柵路2段158號前,121.5622317,24.98886151
2020/1/3 09:46,2,中正區仁愛路1段2號,121.52163,25.03855775
2020/1/3 09:59,2,士林區至善路1段與福林路254巷口,121.5376367,25.09803209
2020/1/3 10:07,2,文山區汀州路4段88號〈師大分部後方〉,121.5341748,25.00863769
2020/1/3 10:13,2,大安區忠孝東路3段與建國南路1段口,121.5367878,25.04184497
2020/1/3 10:15,2,中正區重慶南路1段130號,121.5126002,25.03680666
2020/1/3 10:45,2,內湖區康寧路3段與堤外便道口,121.6114569,25.06384929
2020/1/3 11:09,2,文山區萬芳路與興隆路3段181巷1弄口,121.5603075,24.99687685
2020/1/3 11:39,2,信義區莊敬路與莊敬路178巷口旁,121.5612885,25.0312447
2020/1/3 11:41,2,文山區景文街146巷,121.5409045,24.9894634
2020/1/3 11:47,2,北投區承德路7段與承德路7段393巷口,121.5013893,25.11944494
2020/1/3 11:49,2,大安區仁愛路4段與敦化南路1段口,121.549685,25.03785013
2020/1/3 12:05,2,士林區社子街22巷與社子街84巷口,121.5065665,25.0866449
2020/1/3 12:37,2,中正區市民大道2段與林森南路口,121.5233124,25.04473936
2020/1/3 13:07,2,文山區興隆路3段205號前,121.5598092,24.99537995
2020/1/3 13:50,2,內湖區新明路與成美橋口,121.5822141,25.05571633
2020/1/3 15:10,2,中山區吉林路與新生北路2段137巷口,121.5302714,25.0611946
2020/1/3 15:15,2,文山區忠順街1段141號前,121.5607991,24.98435051
2020/1/3 15:25,2,內湖區成功路2段與新明路口,121.5912216,25.06057798
2020/1/3 15:36,2,文山區興隆路3段與萬芳路口,121.5599011,24.99676237
2020/1/3 15:47,2,大安區復興南路1段191號,121.5438317,25.04014045
2020/1/3 15:53,2,士林區至善路1段與福林路口,121.536516,25.0994134
2020/1/3 15:57,2,萬華區萬大路與東園街口,121.4986978,25.0215201
2020/1/3 16:06,2,北投區立農街1段與立農街1段187巷口,121.503837,25.12004792
2020/1/3 16:25,2,南港區忠孝東路6段與東新街口,121.5851979,25.04797453
2020/1/3 16:28,2,信義區松山路465巷與松山路465巷14弄口,121.5788267,25.0398207
2020/1/3 16:48,2,大安區忠孝東路4段163號,121.5503665,25.0417054
2020/1/3 16:50,2,內湖區舊宗路2段207號,121.5737409,25.07270881
2020/1/3 17:00,2,中山區長春路與林森北路口,121.5254534,25.0549376
2020/1/3 17:29,2,中山區民族東路17號,121.5263713,25.06843636
2020/1/3 17:30,2,松山區復興北路與民權東路3段口,121.5443184,25.06226419
2020/1/3 17:59,2,北投區大同街與大同街138巷口,121.4989631,25.13548639
2020/1/3 18:00,2,內湖區民權東路6段與民權東路6段174巷口,121.5921286,25.06886297
2020/1/3 18:10,2,北投區知行路225巷與知行路235巷口,121.4665037,25.12008511
2020/1/3 18:18,2,大同區重慶北路1段與長安西路口,121.5138759,25.0515997
2020/1/3 18:35,2,中山區建國北路3段151巷與建國北路口,121.5345793,25.06732755
